,source,Start time,nonprofit,non_org_type,role,person_org_years,org_size,org_years,continent,af_region,multi_country,regionality,org_opentext,collects_data,data_kinds,non_data_work,tech_person,merl_person,cloud_storage,data_use_policy,org_agreements,person_ai_comfort,ai_use,ai_want,ai_risk,ai_risk_reward,collab_feasibility,hubs_rural_urban,in_india,india_state,india_rural_urban,ai_opentext,org_label,ref,global_north_south,continent_int,role_int,global_north_south_int,org_size_int,hubs_rural_urban_int,af_region_int,india_rural_urban_int,collab_feasibility_raw,person_ai_comfort_raw,org_years_raw,person_org_years_raw,cluster3
10,The big one,2024-03-07 11:04:42,1,,Leader,0.25,0-5,0.10666666666666667,North America,,0,2,Homeless and social services ,1,"['We collect data using devices, such as phones, tablets,  or computers, and people submit/update information electronically.', '']",,0,0,1,1,0,0.5,"['Translating\xa0or transcribing content', 'Asking a chatbot for advice, or allowing others to ask a chatbot questions about our own vast information collection', '']","[""We don't know yet!"", '']","['Decisions based on biased AI models', 'AI-related data breaches', 'Replacing workers with AI', 'Increasing inequity, if lower-capacity organizations are unable to adopt it, or if AI bias harms groups', '(Over) Dependency on commercial AI products', '']",-1,0.5,,,,,Just not comfortable with the whole AI tool.  Feels like we moving into an area that is not good.,"['Homelessness', 'Social Services']",gt,N,0,0,0,0,,,,5.0,5.0,16.0,15.0,0
11,The big one,2024-03-07 11:07:48,1,,Leader,0.15,0-5,0.09333333333333334,North America,,0,1,"live theatre production, education and support services",0,,"live theatre performances, educational sessions and support services",0,0,1,0,0,0.0,"['I am not currently using AI', '']","[""We don't know yet!"", '']","['Decisions based on biased AI models', 'AI-related data breaches', 'Replacing workers with AI', 'Increasing inequity, if lower-capacity organizations are unable to adopt it, or if AI bias harms groups', 'Plagiarism, violating copyrights, and/or losing intellectual property', '(Over) Dependency on commercial AI products', 'Environmental impact of using AI', '']",1,0.5,,,,,"As an arts organization, the most public uses of AI are so negative that we do not wish to engage with it for any purpose.","['Education', 'Social Services']",gt,N,0,0,0,0,,,,5.0,0.0,14.0,9.0,0
12,The big one,2024-03-07 11:08:21,1,,Leader,0.1,0-5,0.02666666666666667,North America,,0,1,Veterans Museum ,1,"['We also retained the original audio or video that accompanies the transcripts and tabular data.', 'We have at least a hundred transcripts or records of interviews, testimonials, meetings, proceedings, surveys, or similar.', 'Our staff manually fill out spreadsheets (or other tabular data) from notes and observations.', '']",,0,0,1,1,0,0.0,"['I am not currently using AI', '']","[""We don't know yet!"", '']","['Decisions based on biased AI models', 'AI-related data breaches', 'Replacing workers with AI', 'Increasing inequity, if lower-capacity organizations are unable to adopt it, or if AI bias harms groups', 'Plagiarism, violating copyrights, and/or losing intellectual property', '(Over) Dependency on commercial AI products', 'Environmental impact of using AI', '']",-1,0.5,,,,,No experience and no understanding of it. ,['Arts & Culture'],gt,N,0,0,0,0,,,,5.0,0.0,4.0,6.0,0
13,The big one,2024-03-07 11:04:41,1,,Leader,0.2,0-5,0.08,North America,,0,1,"Possibly you need to extend you continent list to Crntral America, where I serve. 

We are a “Business as Mission” based ministry weaving together discipleship and business. ",1,"['Our staff manually fill out spreadsheets (or other tabular data) from notes and observations.', 'We collect data using devices, such as phones, tablets,  or computers, and people submit/update information electronically.', 'Our staff uses software to collect data about people, relationships, prospects, etc.', '']",,0,0,1,0,0,0.8,"['I am not currently using AI', '']","['Generate content (text or images)', 'Translate or transcribe content', 'Assist in automating simple repetitive tasks', 'Predicting outcomes, patterns, or other things from our data', ""We don't know yet!"", '']","['AI-related data breaches', 'Plagiarism, violating copyrights, and/or losing intellectual property', '']",-1,0.6,,,,,"I hear that it is a great tool, however I don’t have any training or even full understanding of how to utilize. As well I don’t have a lot of time to commit to studying which has are be hestitate to use. ",['Other'],gt,N,0,0,0,0,,,,6.0,8.0,12.0,12.0,0
14,The big one,2024-03-07 11:10:24,1,,Admin,0.16666666666666666,16-30,0.6666666666666666,North America,,0,1,"Literacy, Education, Health, Information",1,"['Our staff manually fill out spreadsheets (or other tabular data) from notes and observations.', 'We collect data using devices, such as phones, tablets,  or computers, and people submit/update information electronically.', 'Our staff uses software to collect data about people, relationships, prospects, etc.', '']",,0,0,1,1,1,0.0,"['I am not currently using AI', '']",,"['Decisions based on biased AI models', 'AI-related data breaches', 'Replacing workers with AI', 'Increasing inequity, if lower-capacity organizations are unable to adopt it, or if AI bias harms groups', 'Plagiarism, violating copyrights, and/or losing intellectual property', '(Over) Dependency on commercial AI products', 'Environmental impact of using AI', '']",1,0.0,,,,,I'm against using AI as it currently exists.,"['Education', 'Health & Wellness']",gt,N,0,3,0,2,,,,0.0,0.0,100.0,10.0,0
15,The big one,2024-03-07 11:10:05,1,,Comms,0.3,16-30,0.36,North America,,0,3,Health and Human Services chronic disease charity,1,"['We have at least a hundred transcripts or records of interviews, testimonials, meetings, proceedings, surveys, or similar.', 'Our staff manually fill out spreadsheets (or other tabular data) from notes and observations.', 'We collect data using devices, such as phones, tablets,  or computers, and people submit/update information electronically.', 'Our staff uses software to collect data about people, relationships, prospects, etc.', '']",,0,0,1,1,0,0.6,"['Asking a chatbot for advice, or allowing others to ask a chatbot questions about our own vast information collection', 'Assisting\xa0in automating simple repetitive tasks (for example, using virtual office assistants)', '']","['Generate content (text or images)', 'Ask a chatbot for advice, or allow others to ask a chatbot questions about our own vast information collection', 'Organize our information: restructure, clean, or assign tags so it can be searched', 'Interpret our information: score, classify, codify, or summarize our information', 'Translate or transcribe content', 'Assist in automating simple repetitive tasks', 'Predicting outcomes, patterns, or other things from our data', ""We don't know yet!"", '']","['Decisions based on biased AI models', 'AI-related data breaches', 'Replacing workers with AI', 'Increasing inequity, if lower-capacity organizations are unable to adopt it, or if AI bias harms groups', 'Plagiarism, violating copyrights, and/or losing intellectual property', '(Over) Dependency on commercial AI products', 'Environmental impact of using AI', '']",4,0.7,,,,,,"['Health & Wellness', 'Social Services']",gt,N,0,4,0,2,,,,7.0,6.0,54.0,18.0,1
16,The big one,2024-03-07 11:09:25,1,,Leader,0.16666666666666666,0-5,0.07333333333333333,North America,,0,3,alcohol use disorder,0,,"awareness, peer support, resources, coaching",0,0,0,1,0,0.4,"['I am not currently using AI', '']","[""We don't know yet!"", '']","['Decisions based on biased AI models', 'AI-related data breaches', 'Increasing inequity, if lower-capacity organizations are unable to adopt it, or if AI bias harms groups', 'Plagiarism, violating copyrights, and/or losing intellectual property', '(Over) Dependency on commercial AI products', '']",1,0.0,,,,,"I don't ""fear"" AI at all. I think there are a lot of ways that using it will ultimately be considered unethical in retrospect as it is being used today. It's reusing people's original thoughts, ideas, and work largely without permission. Once the AI climate becomes regulated to protect and compensate or credit original IP, then I will consider using it.  ",['Other'],gt,N,0,0,0,0,,,,0.0,4.0,11.0,10.0,0
17,The big one,2024-03-07 11:09:39,1,,Fundraiser,0.03333333333333333,6-15,0.22,North America,,0,1,cancer wellness,1,"['Our staff uses software to collect data about people, relationships, prospects, etc.', '']",,0,0,1,1,0,0.8,"['Generating\xa0content (text or images)', '']","['Interpret our information: score, classify, codify, or summarize our information', 'Organize our information: restructure, clean, or assign tags so it can be searched', 'Assist in automating simple repetitive tasks', '']","['Decisions based on biased AI models', 'AI-related data breaches', 'Increasing inequity, if lower-capacity organizations are unable to adopt it, or if AI bias harms groups', 'Plagiarism, violating copyrights, and/or losing intellectual property', '(Over) Dependency on commercial AI products', 'Environmental impact of using AI', '']",4,0.4,,,,,Hope it will highlight trends and information in our data we do not see because we never have time to do more than a cursory analysis. I worry that those conclusions will be considered expert and final because they will come easily and no one will double check or consider assumptions they make.,['Health & Wellness'],gt,N,0,1,0,1,,,,4.0,8.0,33.0,2.0,1
18,The big one,2024-03-07 11:09:39,1,,Leader,0.5,6-15,0.2,North America,,0,1,We are a non profit child care center serving the community in which we reside to able the parents to be able to work.,1,"['We collect data using devices, such as phones, tablets,  or computers, and people submit/update information electronically.', '']",,0,1,1,1,1,0.6,"['Generating\xa0content (text or images)', '']","['Organize our information: restructure, clean, or assign tags so it can be searched', '']","['AI-related data breaches', '']",-1,0.5,,,,,,"['Health & Wellness', 'Community Development', 'Youth & Family Services']",gt,N,0,0,0,1,,,,5.0,6.0,30.0,30.0,1
19,The big one,2024-03-07 11:09:03,1,,Leader,0.05,6-15,0.02666666666666667,North America,,0,1,fight food insecurity ,1,"['Our staff manually fill out spreadsheets (or other tabular data) from notes and observations.', '']",,0,1,1,0,0,0.7,"['Generating\xa0content (text or images)', '']","['Generate content (text or images)', 'Organize our information: restructure, clean, or assign tags so it can be searched', 'Interpret our information: score, classify, codify, or summarize our information', '']","['Decisions based on biased AI models', '']",-1,0.7,,,,,"I use AI to write scripts and content.  Its frightening yet helpful, the way it stores all your information and builds the more you use it.",['Food Security'],gt,N,0,0,0,1,,,,7.0,7.0,4.0,3.0,1
20,The big one,2024-03-07 11:11:03,1,,Leader,0.3,6-15,0.22666666666666666,North America,,1,,"ending the cycle of youth homelessness, one youth at a time.",1,"['Our staff manually fill out spreadsheets (or other tabular data) from notes and observations.', 'We collect data using devices, such as phones, tablets,  or computers, and people submit/update information electronically.', 'We have at least a hundred transcripts or records of interviews, testimonials, meetings, proceedings, surveys, or similar.', 'Our staff uses software to collect data about people, relationships, prospects, etc.', '']",,0,0,1,1,0,1.0,"['Generating\xa0content (text or images)', 'Asking a chatbot for advice, or allowing others to ask a chatbot questions about our own vast information collection', '']","['Generate content (text or images)', 'Ask a chatbot for advice, or allow others to ask a chatbot questions about our own vast information collection', 'Organize our information: restructure, clean, or assign tags so it can be searched', 'Interpret our information: score, classify, codify, or summarize our information', 'Translate or transcribe content', 'Assist in automating simple repetitive tasks', 'Predicting outcomes, patterns, or other things from our data', ""We don't know yet!"", '']","['Decisions based on biased AI models', 'AI-related data breaches', 'Replacing workers with AI', 'Increasing inequity, if lower-capacity organizations are unable to adopt it, or if AI bias harms groups', 'Plagiarism, violating copyrights, and/or losing intellectual property', '(Over) Dependency on commercial AI products', 'Environmental impact of using AI', '']",-1,0.5,,,,,"The promise to help with repetitive tasks and qualifying leads, and I am open to hearing what else we can do with them.","['Homelessness', 'Youth & Family Services']",gt,N,0,0,0,1,,,,5.0,10.0,34.0,18.0,1
21,The big one,2024-03-07 11:13:24,1,,MERL,0.21666666666666667,61-120,0.14666666666666667,Europe,,1,,Giving intermediary,1,"['Our staff uses software to collect data about people, relationships, prospects, etc.', '']",,1,1,1,1,1,1.0,"['Asking a chatbot for advice, or allowing others to ask a chatbot questions about our own vast information collection', 'Organizing\xa0our information: restructuring, cleaning, or assigning tags so it can be searched', 'Translating\xa0or transcribing content', '']","['Generate content (text or images)', 'Ask a chatbot for advice, or allow others to ask a chatbot questions about our own vast information collection', 'Organize our information: restructure, clean, or assign tags so it can be searched', 'Interpret our information: score, classify, codify, or summarize our information', 'Translate or transcribe content', 'Assist in automating simple repetitive tasks', 'Predicting outcomes, patterns, or other things from our data', '']","['Decisions based on biased AI models', 'AI-related data breaches', 'Increasing inequity, if lower-capacity organizations are unable to adopt it, or if AI bias harms groups', '(Over) Dependency on commercial AI products', 'Environmental impact of using AI', '']",4,0.7,,,,,,['Other'],gt,N,3,9,0,4,,,,7.0,10.0,22.0,13.0,1
22,The big one,2024-03-07 11:10:26,1,,Admin,0.0,0-5,0.06,North America,,0,1,"We provide trauma care for victims of human trafficking across Idaho.

We support all individuals who need an advocate, education, trauma therapy, or other services to improve and support them.

We are here to work together and empowering individuals to build confidence, strength, and stability for a healthier, happier, and safe future.",1,"['Our staff manually fill out spreadsheets (or other tabular data) from notes and observations.', '']",,0,0,1,1,1,0.7,"['Generating\xa0content (text or images)', '']","['Generate content (text or images)', 'Organize our information: restructure, clean, or assign tags so it can be searched', 'Translate or transcribe content', 'Assist in automating simple repetitive tasks', '']","['Replacing workers with AI', 'Increasing inequity, if lower-capacity organizations are unable to adopt it, or if AI bias harms groups', 'Plagiarism, violating copyrights, and/or losing intellectual property', '']",-1,0.1,,,,,I am worried AI will be mishandled by people who are greedy or otherwise immoral.,"['Education', 'Health & Wellness', 'Social Services']",gt,N,0,3,0,0,,,,1.0,7.0,9.0,0.0,1
23,The big one,2024-03-07 11:12:18,1,,Leader,0.03333333333333333,0-5,0.16666666666666666,North America,,0,1,Educational Entertainment,0,,,0,0,1,0,0,0.5,"['I am not currently using AI', '']","[""We don't know yet!"", '']","['Plagiarism, violating copyrights, and/or losing intellectual property', '']",-1,0.5,,,,,,['Education'],gt,N,0,0,0,0,,,,5.0,5.0,25.0,2.0,0
24,The big one,2024-03-07 11:15:23,1,,Leader,0.06666666666666667,31-60,0.3333333333333333,North America,,0,1,Sexual Violence direct service and prevention education,1,"['We collect data using devices, such as phones, tablets,  or computers, and people submit/update information electronically.', 'Our staff uses software to collect data about people, relationships, prospects, etc.', '']",,0,0,1,1,0,1.0,"['Organizing\xa0our information: restructuring, cleaning, or assigning tags so it can be searched', 'Assisting\xa0in automating simple repetitive tasks (for example, using virtual office assistants)', '']","['Generate content (text or images)', 'Organize our information: restructure, clean, or assign tags so it can be searched', 'Interpret our information: score, classify, codify, or summarize our information', 'Translate or transcribe content', 'Assist in automating simple repetitive tasks', 'Predicting outcomes, patterns, or other things from our data', '']","['Decisions based on biased AI models', 'AI-related data breaches', 'Increasing inequity, if lower-capacity organizations are unable to adopt it, or if AI bias harms groups', 'Plagiarism, violating copyrights, and/or losing intellectual property', '']",5,0.5,,,,,Hopeful that it will lead to more capacity and better work life balance. Concerned about unknowns regarding unethical use and copy-write issues. ,['Education'],gt,N,0,0,0,5,,,,5.0,10.0,50.0,4.0,1
25,The big one,2024-03-07 11:19:13,1,,Governance,0.05,0-5,0.02,North America,,0,1,Charter school ,0,,Education ,0,0,0,1,0,0.2,"['I am not currently using AI', '']","['Organize our information: restructure, clean, or assign tags so it can be searched', 'Interpret our information: score, classify, codify, or summarize our information', 'Assist in automating simple repetitive tasks', 'Predicting outcomes, patterns, or other things from our data', '']","['Decisions based on biased AI models', 'AI-related data breaches', 'Increasing inequity, if lower-capacity organizations are unable to adopt it, or if AI bias harms groups', 'Replacing workers with AI', 'Plagiarism, violating copyrights, and/or losing intellectual property', '(Over) Dependency on commercial AI products', 'Environmental impact of using AI', '']",1,0.2,,,,,,"['Arts & Culture', 'Education']",gt,N,0,2,0,0,,,,2.0,2.0,3.0,3.0,0
26,The big one,2024-03-07 11:06:39,0,1,Fundraiser,0.016666666666666666,16-30,0.15333333333333332,North America,,0,2,Helping everyone in need in an 8 county area.,1,"['Our staff manually fill out spreadsheets (or other tabular data) from notes and observations.', 'We collect data using devices, such as phones, tablets,  or computers, and people submit/update information electronically.', 'We also retained the original audio or video that accompanies the transcripts and tabular data.', 'Our staff uses software to collect data about people, relationships, prospects, etc.', '']",,0,0,1,1,1,1.0,"['Generating\xa0content (text or images)', 'Asking a chatbot for advice, or allowing others to ask a chatbot questions about our own vast information collection', 'Organizing\xa0our information: restructuring, cleaning, or assigning tags so it can be searched', 'Assisting\xa0in automating simple repetitive tasks (for example, using virtual office assistants)', 'Predicting outcomes, patterns, or other things from our data', '']","['Generate content (text or images)', 'Ask a chatbot for advice, or allow others to ask a chatbot questions about our own vast information collection', 'Organize our information: restructure, clean, or assign tags so it can be searched', 'Interpret our information: score, classify, codify, or summarize our information', 'Predicting outcomes, patterns, or other things from our data', 'Assist in automating simple repetitive tasks', 'Translate or transcribe content', '']","['(Over) Dependency on commercial AI products', 'Replacing workers with AI', 'AI-related data breaches', '']",2,0.7,,,,,I fear AI will take over the world. Seriously.,['Other'],gt,N,0,1,0,2,,,,7.0,10.0,23.0,1.0,1
27,The big one,2024-03-07 11:18:20,1,,Fundraiser,0.06666666666666667,61-120,0.38666666666666666,North America,,0,1,Behavioral and social health services,1,"['Our staff manually fill out spreadsheets (or other tabular data) from notes and observations.', 'We collect data using devices, such as phones, tablets,  or computers, and people submit/update information electronically.', 'Our staff uses software to collect data about people, relationships, prospects, etc.', '']",,0,0,0,1,0,0.2,"['I am not currently using AI', '']","[""We don't know yet!"", '']","['Decisions based on biased AI models', 'AI-related data breaches', 'Replacing workers with AI', 'Increasing inequity, if lower-capacity organizations are unable to adopt it, or if AI bias harms groups', 'Plagiarism, violating copyrights, and/or losing intellectual property', '(Over) Dependency on commercial AI products', 'Environmental impact of using AI', '']",-1,0.2,,,,,"In a behavioral and social work field, AI removes a human element that is needed for crisis, safety, security. This can lead to deadly outcomes for clients. It can also lead to risk management issues for organizations. And it can lead to inappropriate guidance to staff on how to work with clients. Also, fundraising could have privacy and wealth standards breached, thereby making people not want to donate to your organization. AI will have benefits, but we are not there yet.",['Health & Wellness'],gt,N,0,1,0,4,,,,2.0,2.0,58.0,4.0,0
28,The big one,2024-03-07 11:16:38,1,,Fundraiser,0.03333333333333333,121+,0.26,North America,,0,1,Affordable housing and homeownership ,1,"['We collect data using devices, such as phones, tablets,  or computers, and people submit/update information electronically.', 'We have at least a hundred transcripts or records of interviews, testimonials, meetings, proceedings, surveys, or similar.', 'Our staff uses software to collect data about people, relationships, prospects, etc.', '']",,0,1,1,1,0,0.6,"['Generating\xa0content (text or images)', 'Organizing\xa0our information: restructuring, cleaning, or assigning tags so it can be searched', '']","['Ask a chatbot for advice, or allow others to ask a chatbot questions about our own vast information collection', 'Assist in automating simple repetitive tasks', 'Predicting outcomes, patterns, or other things from our data', 'Translate or transcribe content', '']","['AI-related data breaches', 'Plagiarism, violating copyrights, and/or losing intellectual property', 'Decisions based on biased AI models', '']",4,0.6,,,,,"As someone on the younger side of my staff, I have a slightly biased view & have come to use AI as a tool with writing, organizing and creating content. I don't feel I have the technical ability yet to start using AI to automate or analyze data but I'd like to learn more and decide if that increases efficiency or unlocks additional insights. ","['Homelessness', 'Social Services']",gt,N,0,1,0,3,,,,6.0,6.0,39.0,2.0,1
